"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"117","rpl32",65.5033157053837,0.799215585377247,0.723886413449124,1.10406214362997,0.269566181453709,0.578176752819461,"ENSDARG00000062152",2.31094134752397,"100126023"
"118","zmp:0000000735",14.1775487603405,-0.086787935260558,0.668580036987247,-0.129809342874851,0.896717270917501,0.965281270523944,"ENSDARG00000102807",-0.890985339320662,"404615"
"119","smc3",58.0315644093768,0.326583834928139,0.232316133026581,1.40577337730898,0.159791429900201,0.44616044748745,"ENSDARG00000062978",2.83388587724956,"559332"
"120","pdcd4b",230.550172069008,0.5278816337037,0.135373290322393,3.89945189665218,9.64106883982729e-05,0.00277082505089456,"ENSDARG00000105112",10.2468934869933,"564374"
"121","bbip1",14.4034961257907,-0.13613324671424,0.455195864859316,-0.299065209558337,0.76489029087729,0.914214049434935,"ENSDARG00000069763",-0.731977133942191,"406253"
"122","shoc2",1653.15553927029,-0.108119387318087,0.110291192630246,-0.980308442946663,0.326933888373523,0.63562218402187,"ENSDARG00000042065",0.117997304753011,"569706"
"123","adra2a",17.6868542037447,0.0700799105940146,0.469535298921229,0.149253763785226,0.88135339768247,0.959706389922547,"ENSDARG00000057323",1.12629660103486,"571305"
"124","abi3bpb",21.6591819324978,0.830823883664443,0.413105713673898,2.01116531716695,0.0443079978484194,0.213741501854412,"ENSDARG00000060041",4.11659007988709,"503744"
"125","rrbp1b",28.1301253491088,-0.136646428492628,0.376013195584717,-0.363408598679993,0.716299679411114,0.892320872456157,"ENSDARG00000027065",-0.666343347075853,"449927"
"126","csrp2bp",24.9606779553,-0.0550437172601144,0.468475048184226,-0.117495515446254,0.90646739758602,0.968330872809393,"ENSDARG00000022085",-0.901799785409934,"798347"
"127","dzank1",32.4660258131305,0.250639420628482,0.380104981865711,0.659395252854202,0.509641989716733,0.779580349877341,"ENSDARG00000101120",1.67404678071534,"558580"
"128","polr3f",24.2018784087373,0.368128442240252,0.375278177587656,0.980948171851176,0.326618300486331,0.63555907436245,"ENSDARG00000010002",2.11896306668328,"553672"
"129","nptxrb",306.579569488408,0.733838500593685,0.144415130014646,5.08145164927844,3.74561358327926e-07,3.0255317472691e-05,"ENSDARG00000077047",15.7975102067475,"567913"
"130","dnal4b",20.1527848720045,0.140618555436973,0.431130754037597,0.326162200492685,0.744301638559266,0.905432392357278,"ENSDARG00000078890",1.29530889814178,"554140"
"131","si:ch73-6k16.1",519.283716505622,0.118499691852437,0.126644900476614,0.935684669548289,0.349435566102949,0.654886326639253,"ENSDARG00000061736",2.05143609452517,"678612"
"132","si:ch211-117l17.5",28.9587092810367,-0.388055536929377,0.431650074774192,-0.899004910707774,0.368650044973358,0.670858200142069,"ENSDARG00000061454",-0.00209252744824606,"336998"
"133","rgs2",14.0835751187156,-0.125132660902697,0.524936339924273,-0.238376830456716,0.811588836150729,0.932986993245178,"ENSDARG00000041450",-0.791238573516032,"170446"
"134","uchl5",59.4014056492168,0.41732997269478,0.243209126195003,1.71593056240894,0.0861747521611665,0.313349948652953,"ENSDARG00000076620",3.45137804257793,"777766"
"135","glrx2",29.1607052173349,0.559908044553376,0.409467487662922,1.36740537752853,0.171498277722919,0.463381653568488,"ENSDARG00000057577",2.76318205485853,"436592"
"136","b3galt2",107.137609925379,0.196493072927098,0.193998397036361,1.01285926032816,0.311127390104679,0.621883641441396,"ENSDARG00000022599",2.16755283618752,"321720"
"137","polrmt",226.717664361418,-0.345348488866639,0.135788209042211,-2.54328775158441,0.0109814751635385,0.087660569699017,"ENSDARG00000101281",3.51154550187587,"100005148"
"138","cdc14ab",229.116962508887,0.0762983381865382,0.15244066459203,0.500511713135939,0.616714810653148,0.841268819201622,"ENSDARG00000056334",1.48334858129585,"550571"
"139","slc30a7",49.9068773538373,0.131094452910238,0.294954760223507,0.444456135615165,0.656712835650331,0.86231395334687,"ENSDARG00000026329",1.42050844029276,"568473"
"140","dph5",43.738278890143,0.129150135811509,0.311852037383666,0.414139143983267,0.67877220691981,0.874690578504797,"ENSDARG00000038005",1.38746969089194,"327616"
"141","zbtb37",14.6838827152024,0.524073414501937,0.491945270154381,1.06530837126958,0.286736405784675,0.597352905831658,"ENSDARG00000045416",2.24919193199645,"100002334"
"142","rc3h1a",47.1741310559551,0.694911742893906,0.360199136126017,1.92924322464446,0.0537006743926148,0.238652293902484,"ENSDARG00000029865",3.92432971902448,"557353"
"143","eps15l1a",234.459045948482,0.385284167714318,0.252491710209172,1.5259279894581,0.127027799207992,0.392104650964652,"ENSDARG00000006786",3.06334932507526,"445495"
"144","klf2a",15.3291637076906,1.77231627084543,0.537074708273276,3.29994364572393,0.000967042451072457,0.0155546785108699,"ENSDARG00000104396",7.94126816370985,"108179154"
"145","myo7ab",44.1268843605414,-0.70254453129229,0.302559100888994,-2.32200759860814,0.0202325264812102,0.129696918925912,"ENSDARG00000002339",2.90046374775009,"561786"
"146","capn5b",295.339330969614,-0.0216415920262307,0.175621473755245,-0.123228620985105,0.901926062018273,0.967400776435628,"ENSDARG00000090634",-0.89677726656576,"403014"
"147","cul5b",70.6108678948924,-0.0286541177810556,0.232963773364049,-0.122998169918368,0.902108547157204,0.967445606208544,"ENSDARG00000056338",-0.896979574369197,"100331439"
"148","slc35f2",48.9796986705227,-0.587242050215663,0.264124662638465,-2.22335182314831,0.0261920855901156,0.153339106443282,"ENSDARG00000038290",2.64229799056259,"567457"
"149","elmod1",5229.57704520461,0.0567810791026522,0.0865137084389588,0.656324646431207,0.511615262828068,0.781296095338068,"ENSDARG00000001769",1.67018237620395,"557009"
"150","gria4b",112.835953978249,0.354973376161041,0.189769882132016,1.87054643325383,0.0614079752777238,0.257189729258187,"ENSDARG00000067537",3.79021556174741,"564967"
